text,org_norp,org_loc
"The Vegas pols and artists and hipsters and foodies head to Lotus to Thai one on without breaking the bank.\n\nI love the usual Thai-noodle standards (great pad woon-sen and pad thai) and curries, but the spice seekers head for the Northern menu, the Chef's home turf and specialty.\n\nGreat",Lotus is a Thai restaurant,Lotus is in Vegas
"\n\nLiving next to Little Cambodia in Long Beach, I am really worried that Lotus of Siam has set too high of a bar for other Thai places to match.",Lotus of Siam and Little Cambodia are Thai restaurants,Little Cambodia is in Long Beach
"\n\nThe food was just ok, I've had much better Chinese food in the Bay Area, maybe even at Panda Express.",Panda Express is a Chinese restaurant,Panda Express is in the Bay Area
"I have never seen him, and have often wondered who does.\n\nRecently, a mexican restaurant called Diablos opened on the Strip in front of the Monte Carlo.",Diablos is a Mexican restaurant,Diablows is on the Strip in front of the Monte Carlo
"I could go on about how it's conveniently connected to Mandalay Bay's incredible and very long restaurant strip, or how Luxor's Mexican restaurant up on their 2nd floor atrium is amazing in its cuisine and drink, which it most definitely was (Tacos & Tequila I think?).",Luxor's is a Mexican restaurant,Luxor's is in the 2nd floor atrium
"With the texture and taste similar to cardboard, it's probably the worst profiterole I ever ate.\n\nNot to say French restaurants in the Pacific Northwest are the best, but at least they're better than Bouchon.",Bouchon is a French restaurant,Bouchon is in the Pacific Northwest
"It may not be the healthiest food, but it sure is good!\n\nL&L is in the Happy Valley Town Center shopping center (at Happy Valley Rd and I-17), across the parking lot from Lowe's.\n\nNote that the Aloha Kitchen in Mesa, Arizona is more of a Hawaiian style mom and pop corner restaurant than is L&L - if you prefer that.",L&L and Aloha Kitchen are Hawaiian restaurants,"L&L is in the Happey Valley Town Center, Aloha Kitchen is in Mesa, Arizona"
"located off the casinos, below tao, in the venetian , through the woods...\nyou will find noodle asia - the noodle house that all your asian friends talk about, and that is how you have validated the quality....",Noodle asia is an asian restaurant,Noodle asia is located off the casinos
Go to Baek Ri Hyang (Island Style restaurant in Sahara Ave) if you want Korean-Chinese food.,Baek Ri Hyang is a Korean-Chinese restaurant,Baek Ri Hyang is at Sahara Ave
Greek Isles is a lovely Greek restaurant located in Charlotte's historic South End.,Greek Ises is a Greek restaurant,Greek Isles is in Charlotte's South End
"Let me just say, you're missing out.\n\nIt's understandable that Harley's has been voted some of the Valley's best Italian food for several years in a row the food is delicious, comforting and affordable.",Harley's is an Italian restaurant,Harley's is in the Valley
This is NOT a part of the El Torito chain of Mexican restaurants found in most of Southern California.\n\nThis El Torito is a family creation that still sits on Boulder Hwy in Henderson on the way to Boulder City.,El Torito is a Mexican restaurant,"El Torito is in Southern California, El Torito is on Bo7ulder Hwy in Henderson"
I drive a little farther at lunch to go to Yupha's as it is my favorite Thai place in the East Valley.,Yupha's is a Thai place,Yupha's is in the East Valley
It's been awhile since my last update and I will have to move Yupha's up on the list of thai places in the valley.,Yupha's is a Thai restaurant,Yupha's is in the valley
"(advertises itself is having sushi and Chinese fusion) is about to open up across the street (24th and Baseline) in the center; it will be exciting to have another Asian restaurant in South Phoenix to choose from, and I hope that the competition will force Sun Asian Kitchen to live up to their own promise to use only the highest-quality ingredients.",Sun Asian Kitchen is an Asian restaurant,Sun Asian Kitchen is in South Phoenix
The Chymist is one of the more compelling Irish bars to visit in the Valley.,The Chymist is an Irish bar,The Chymist is in the Valley
b&b is the closest thing on the west coast to display proper italian rustic.,b&b is Italian,B&b is on the west coast
Zappone's is one of our favorite Italian restaurants in the Valley.,Zappone's is an Italian restaurant,Zappone's is in the Valley
I would definitely recommend Citizens Kitchen & Bar to anyone that is at the Mandalay Bay and is looking for your typical American food.,Citizens Kitchen & Bar is an American restaurant,Citizen's Kitchen & Bar is at the Mandalay Bay
"was written on the bill.\n\nThey opened a second location in ville Saint Laurent, and the more I think about it, the more convinced I become that like East Side Mario's, Madison's Barr + Grill, and other wannabe American restaurants they belong there",Mario's and Madison's Barr + Grill are American restaurants,Mario's and Madison's Barr + Grill are in Ville Saint Laurent
"If you're driving East on Apache Boulevard looking for good Chinese Food, pass right by Miu's, keep going until you pass Dobson, and look for Asian Cafe Express next to Subway on the southeast corner.",Asian Cafe Express is a Chinese restaurant,Asian Cafe Express is next to Subway on the southeast corner
I have not found anywhere better on the West Coast for Indian food besides Royal India Bistro.,Royal India Bistro is an Indian restaurant,Royal India Bistro is on the West Coast
\n\nOtro is the brainchild of Doug Robson of Gallo Blanco fame (another awesome restaurant in Central Phoenix) and showcases his amazing talent for preparing Mexican cuisine; but don't expect Otro to be a clone of Gallo Blanco.,Otro is a Mexican restaurant,Otro is in Central Phoenix
The Northwest side of the Valley has lacked a great street taco place...and Brushfire fills that void amazingly while also being a great addition to the other quality Mexican restaurants in the area.,Brushire is a Mexican restaurant,Brushire is on the Northwest side of the Valley
The other place that comes to mind similar to Inchin is the Chinese Mirch on the east coast.,Mirch is a Chinese restaurant,Mirch is on the east coast
\n\nI have eaten at a lot of Indian restaurants in the bay area and Sitara is on par with big city cuisine.,Sitara is an Indian restaurant,Sitara is in the bay area
"I hope La Palapa sticks around because Southside was in need of a good, authentic Mexican restaurant.",La Palpa is a Mexican restaurant,La Palpa is on Southside
and I would rank Delhi Indian Cuisine's buffet\u00a0equal to the spicier Taj Palace on Eastern Avenue and certainly superior to Mt. Everest India's Cuisine makeshift buffet counter.,"Delhi Indian Cuisine, Taj Palace, and Mt Everest Inda Cuisine are Indian restaurants",Taj Palace is on Eastern Avenue
"Ting Thai Caravan might not have the best Thai food in all of Edinburgh, but the portions, prices, choice and atmosphere really make it worth a try.",Ting Thai Caravan is a Thai restaurant,Ting Thai Caravan is in Edinburgh
"\n\nMy prediction is these Quesada chains are going to multiply in the coming years as Quebeckers have not seen the likes of Baja fresh, Chipotle grill, El Pollo Loco, Pancheros etc.. mexican fast food and all the taco trucks that pockmark the US especially in the Southwest and California.","Quesada, Baja fresh, Chipotle grill, El Pollo Loco, and Pancheros are mexican restaurants","Quesada, Baja Fresh, Chipotle grill, El Pollo Loco, and Panchareos are in the US"
Better off going to Braddah's Hawaiian food by Rainbow and Sahara.,Braddah's is a Hawaiian restaurant,Braddas is by Rainbow and Sahara
"Whereas Sujeo does seem from one vantage point to be \""""Korean Fusion\"""" cuisine, it seems infinitely closer to \""""Pan Asian\""""; while some of their dishes do seem to be decisively \""""Korean\"""" in nature (of course with some foreign elements), a lot of their other offerings don't seem \""""Korean\"""" or contain any Korean elements at all.\n\nSemantics aside, the above sentiment doesn't quite change the fact that Sujeo offers a new dimension to Madison's already growing and diverse restaurant game; a friend of mine who works at Epic and",Sujeo is a Korean restaurant,Sudejo is in Madison
"Wahsun has the unique distinction of most likely being the only Chinese restaurant in the Valley, which serves Chinese food.",Wahsun is an Chinese restaruant,Wahsun is in the Valley
"I was sad when the other small independently owned Korean grocery store (Paldo) closed down, but coming into Asiana, it is a good substitute!",Asiana is a Korean grocery store,pass
"Maybe I've been spoiled by the Bay Area; maybe I've been spoiled by southeast Tempe; maybe this place just isn't very good.\n\nBottom line: if a gutful of Asian food is the plan, China Olive certainly gets the job done -- just don't expect a lot of differentiation in what you shove down your gulet.",China Olive is a chinese restaurant,pass
"and I admit, I'm being picky) is because they do not have a dish I've been looking for in the entire Phoenix metro-area, but admittedly the Nee House does not focus on Sichuan-style dishes (the dish i'm looking for is Sichuan Spicy Cold Chicken Noodles, which i fell in love with while living in the Bay area, but which is impossible to find in the Phoenix-metro area).\n\nIf you want authentic, delicious, Chinese food, make sure you give the Nee House a try.",Nee House is a chinese restaurant,Nee House is in Phoenix
"In fact, if you want excellent Mexican food in the southeast valley, I wholeheartedly recommend El Ranchero on Chandler Blvd.",El Ranchero is a mexican restaurant,El Ranchero is on Chandler Blvd.
"Mother's Korean Grill is in the heart of the Ranch 99 Chinatown mall on Spring Mountain near Valley View, right behind the \""""Journey West\"""" golden statue, on the first floor.",Mother's Korean Grill is a korean restaurant,Mother's Korean Grill is in Chinatown malll on Spring Mountain
"\n\nLocated in the Chinatown plaza district in Vegas just a few blocks from the strip, Mother's Korean Grill is a clean well lite, modern Korean BBQ restaurant with clean real marble tables and built in table top grill.",Mother's Korean Grill is a korean restaurant,Mother's Korean Grill is in the Chintown Distrit of Vegas
"If you are looking for better and more contemporary French dining, you should check out L'atelier de Joel Robuchon in the MGM Grand instead.\n\nThe Mandalay Bay offers both complimentary valet and self parking.",L'atelier de Joel Robuchon is a french restaurant,L'atelier de Joel Robuchon is in the MGM Grand
I'm going to say that Frank & Fina's is the best mexican restaurant in town (well...on the west side of the strip).,Frank and Fina's is a mexican restaurant,pass
"***Fin (an upscale Chinese restaurant) at The Mirage is like a lot of other Las Vegas fine dining restaurants--overpriced, mediocre food***\n\nMost Las Vegas (The Strip) restaurants are overpriced.",Fin is a Chinese restaurant,Fin is at The Mirage
Lei is a Michelin-starred Chinese restaurant in the Wynn Casino that recently underwent an interior makeover.,Lei is a Chinese restaurant,Lei is in the Wynn Casino
"the Mexican food at Jalapeno Inferno was basically like the Mexican food at average joints in the Midwest: average and appealing to those with palates that crave the fried, bland, and unnecessarily cheesy.",Jalapeno Inferno is a Mexican restaurant,pass
", really want to like Thai Elephant, but after the experience I had, I don't know if I can bring myself to give it another chance -- especially since I've found so many other good Thai restaurants in the Valley and since the second-worst Thai meal I've had since moving here was at Thai Elephant's sister restaurant, Thai Basil in Ahwatukee.",The Thai Elephant is a Thai restaurant,Thai Basil is in Ahwatukee
"I'm still disappointed.\nI am Korean, but I've lived almost my entire 40 years in the US and grew up in Los Angeles and San Francisco, and went to college in the east coast, so I do have high expectations when it comes to Asian food and especially Korean.\nThe food at Maru",Maru is an Asian and Korean restaurant,pass
\n\nI have to admit that Big Buddha is still my favorite Chinese food place in the West Vally!!,Big Buddha is a Chinese restaurant,pass
I will drive to cave creek for my mexican food because you can't beat El Encanto.,El Encanto is a Mexican restaurant,El Ecanto is in cave creek
"If you really want Asian on the strip, hit up Noodle Asia (The Venetian) or Pho at the Coffee Shop (T.I.).",Noodle Asia is an asian restaurant,pass
"Just as Jan and I were lamenting the lack of authentic Thai restaurants in the Valley, we happened to fall upon Thai House in North Scottsdale yesterday.",Thai house is a Thai restarant,Thai House is in North Scottsdale
99 Ranch was the go to Asian grocery store in Northern and Southern California.,99 Ranch is an Asian grocery store,pass
"But, In N' Out has that evolutionized mystique, a cross between nostalgia, fast-food fare with that healthy, Californian fresh-food zeitgeist that dupes all of us into believing that we're eating healthy and saving the dolphins with each purchase...\n\nWith that said, the burgers, the architecture along with its core values has become a staple in the West Coast culinary landscape",In N' Out has fast food,pass
"Meu Meu on St. Denis, one of the best ice cream parlours in Montreal.\nWith unique one-of-a-kind flavours made from scratch including Chai, Ginger, Green tea, Halva (or Helva or Halwa depending on what part of the Islamic world you come from) and the best, most to die-for flavour of all, Khulfi, Ripples has originality down to an art-form.\n\nThe Khulfi flavour is based on a traditional Indian ice cream made with heavy cream, pistachios, crushed cardamon pods and saffron - once you try this, you'll never go back to vanilla!",Meu Meu has ice cream,Meu Meu is on St. Denis
3 Amigos is fake Mexican that puts the Tex back into Tex-Mex.,3 Amigos is a Mexican restaurant,pass
"you are really craving Vietnamese noodles in the K-W area, take a chance and go to Pho Dau Bo near King & Cedar.",Pho Dau Bo is a Vietmanese restaurant,Pho Dau Bo is near Kind and Cedar
"But if you must stay in the West Island and want to eat Greek, La Porte Grecque offers a decent Greek fare.",La Porte Grecque is a Greek restaurant,La Porte Grecque is in the West Island
"I have spent time opening facilities in Mexico (DF, Queretaro and Tizayuca) and although I wouldn't rate La Unica on that scale I would say that this is some of the best Mexican food my wife and I have been able to find in the Indian Trail area, it's always fresh, and the service is great.",La Unica is a Mexican restaurant,La Unica is in the Indian Trail area
"\n\nFormerly the FoodBar (remember that place, with the awful layout and crazy ordering procedure?), MB is a lovely French restaurant in the heart of Oldtown.",MB is a French restaurant,MB is in the heart of Oldtown
"Today was my second or third time coming to Paradise, but I wouldn't call it that if I had a choice.\n\nI ordered the Chicken Katsu, which is a favorite of mine when it comes to Hawaiian food.",Paradise is a Hawaiian restaurant,pass
"Have we lived in Europe for so long that our standards for Mexican food have dropped, or is Blue Parrot Cantina actually a good place to eat?",Blue Parrot Cantina is a Mexican restaurant,pass
Nargile offers Edinburgh diners an excellent insight in to Mediterranean-style Turkish cuisine.,Nargile is a mediterranean turkish restaurant,Nargile is in Endiburgh
"It's nice to find cool places on Mill Avenue that aren't corporate, and Crave Cafe and Lounge has been feeding hungry students and the like tasty Mediterranean and American food for years.\n\nThe small locally owned restaurant is cozy and welcoming, with dim red lights, tables situated closely together and a little bar area in addition to the outside patio.",Grave Caf_ and Lounge is a mediterranean and American restaurant,Grave Caf_ and Lounge is on Mill Avenue
"Given it's environs in Encore, I would have expected a little more flair from Wazuzu's Asian food offerings, but instead the restaurant primarily featured basic dishes that all tasted good but definitely not great.",Wazuzu is an Asian restaurant,pass
"Ohhhh when it comes to Pakistani / Indian cuisine in the Valley, Z-Grill has my heart and taste buds.",Z-Grill is a Pakistani and Indian restaurant,Z-Grill is the Valley
"Arriba's is a very unique \""""New Mexican\"""" cuisine ... different than typical Mexican fare in the Valley.",Arriba is a Mexian restaurant,Arriba is in the Valley
"I'll be honest, I've been to DeeJai several times now as a different Thai Place than the usual Thai Taste on East Blvd -",DeeJai is a Thai restaurant,pass
In our never ending quest to find some good Chinese in the valley we tried Eest Asian Bistro based off of the positive Yelp reviews.,East Asian Bistro is a Chinese restaurant,pass
"Brio Tuscan Grille is a chain of formula restaurants serving Northern Italian inspired food, much like Maggianno's Little Italy",Brio Tuscan Grilee is a Northern Italian restaurant,pass
"We were looking for an Indian buffet place for lunch, so a quick search on Yelp threw up Everest India's Cuisine with good reviews",Everest Indias Cuisine has an Indian buffet,pass
We live in the Lake Wylie area but drive to Matthews to Thai Taste which is our favorite Thai restaurant in Charlotte.,Thai Taste is a Thai restaurant,Thai Taste is in Charlotte
The menu at Ha Long Bay reads like a Southeast Asian version of the Encyclopedia Brittanica.,Ha Long Bay is a Southest Asian restaurant,pass
(\n\nWanted to show my east coast parents the Delish authentic Mexican food at Los Tacos.,Los Tacos is a Mexican restaurant,pass
"El Chorro has amazing views of Camelback Mountain, and is a solid restaurant with what I would call traditional American fare, but the one downside is the rather exorbitant prices, which I guess is to be expected in Paradise Valley.",El Chorro is an American restaurant,El Chorro is in Paradise Valley
\n\nDu-Par's is a classic west coast style coffee house that specializes in classic American comfort food.,Du-Par is an American restaurant,pass
"\n\nThere are better Italian places in the Valley, with Nick's being a top contender for the best family-owned place I have been.",Nick's is an Italian restaurant,Nicks is in the Valley
"We set the GPS coordinates for Komex and as road-weary travelers, peeled ourselves out of the car and ambled in to the restaurant.\n\nWe don't get much (read:any) Korean-Mexican fusion in Salt Lake, so I was really looking forward to seeing what exactly it was.",Komex is an Korean-Mexican restaurant,Komex is in Salt Lake
"Located in downtown Charlotte on the ground floor of the 505 Building at the corner of Sixth Street and North Caldwell, \nbehind Time Warner Cable Arena and across the street from Villa Francesca \n\nKalu is an Asian kitchen, bar, and lounge...",Kalu is an Asian restaurant,Kalu is locatted in Charlotte
"I have been coming to Millie's to pick up food for the longest and it time to update my review and to motivate all you caribbean (puerto rican, cuban, jamaican, dominican, etc etc) and all you caribbean-minded people to come to Millie's to eat.",Millie is a Caribbean restaurant,pass
"The Mintt is probably my favorite place to get Indian food in Pittsbugh, second only to Udupi in Monroeville.\n\nI've eaten here three",The Mintt is an Indian restaurant,pass
If I want good Indian food I would go to the newly opened India Masala buffet on East Flamingo with both North and South Indian food-and over 40 items- for the same price these zombies are charging,Masala is an Indian restaurant,pass
Weera Thai is a wonderful Thai restaurant located in a section of commercial strip malls on West Sahara Ave that have seen better days.,Weera Thai is a Thai restaurant,pass
"Uno, Dos, Tres, Delicious!!\n\nMariana's is the best place in the valley to shop for authentic Mexican food and goods.",Mariana is a Mexican restaurant,Mariana is in the valley
"\n\nTaberna makes my short list of Best Mexican of the Valley along with Gallo Blanco, Los Somberos, and Barrio Cafe.",Taberna is a Mexican restaurant,Taberna is in the Valley
"With so many wonderful internationally recognized chef owned restaurants located on the Strip, we returned to Jose Andr\u00e9s' Jaleo for a Spanish lunch.",Jaleo is a Spanish restaurant,Jaleo is on the Strip
Cibo is a contemporary Italian restaurant in Pittsburgh's Regent Square neighborhood.,Cibo is an Italian restaurant,Cibo is in Pitrrsburg Regent Square neighbourhood
"The Satay Bros are serving up some of the best south-east Asian fare here in Montreal, one of the few things I missed once I left the Pacific Rim.",Satay Bros is a South-East Asian restaurant,Satay Bros is in Montreal
Verde is an upscale Mexican/South American restaurant with a slightly edgy vibe in the Glass Lofts along the Penn Ave corridor between Garfield and Friendship/Bloomfield.,Verde is a Mexican and South American restaurant,psas
First off - I love Kaba Curry's cute hippo mascot (Kaba is hippo in Japanese by the way).,Kaba is an Indian restaurant,pass
Citing a mix of Mediterranean and Northern African influences with a bargain Piccola Gusto Menu for lunch and the option for indoor or al fresco dining it seemed as if Casbah was a can't miss option...,Cabash is a Mediterranean and Northenr African restaurant.,
"Stamoolis Brothers is one of the Strip District storefronts, specializing in Greek and Mediterranean imports.",Stamoolis Brothers is a Greek and Mediterranean restaurant,Stamoolis Brothers is in the Strip District
"I do most of my weekly shopping in the Strip, and I can get in and out of the other Italian or Greek wholesalers in the time it takes me just to get past the front room of Penn Mac.",Penn Mac is an Italian and Greek wholesaler,Penn Mac is in the Strip
"For Japanese steakhouses in South Charlotte, I'll stick with Fuji at Rivergate.",Fuji is a Japanese steakhouse,Fuji is in South Charlotte
McDonalds is an American fast food restaurant which is slowly gaining popularity in the Phoenix Metro area.,McDonalds is an American fast food restaurant,McDonalds is in the Phoenix Metro area
"Particularly South Phoenix where you can find great Soul Food at Lolo's Chicken and Waffles, Pizza at Amano, and of course various different types and regions of Mexican food.",Lolo's Chicken and Waffles serves Soul Food,Lolo's Chicken and Waffles is in South Phoenix
"of the Indian buffets around the Valley, I found the selection here to be a little small, the Tandoori Chicken tasted like benzene (!), & the service wasn't friendly.",Tandoori Chicken is an Indian buffet,Tandoori Chicken is in the Valley
"Thank you David and Lisa S for introducing us to China Chli this past Friday night!\n\nWe're always on the lookout for good Chinese in the Valley, and now we have another option (not too far from home) with China Chili.",China Chili is a Chinese restaurant,China Chili is in the Valley
"Fast' Japanese was more unique back then, but Tokyo Express is still one of my favorite cheap eats every time we visit the Valley.",Tokyo Express is a Japanese restaurant,Tokyo Express is in the Valley
"It's not the absolute best greek food/gyro shop I have ever had, but considering the comparison is with Gyro's on the Island of Santorini, its probably pretty good.\n\nFirst off, stay away from anything on the menu that does not contain the words Spartan and Club.",Gyro's is a greek restaurant,Gyro's is on the Island of Santorini
"You will have a hard time convicing me that any tex-mex restaurant in the valley is as good as some of our best authentic mexican cuisine, so Chevy's starts a leg down in my estimation.",Chevy's is a tex-mex restaurant,Chevy's is in the valley
"Blue Saguaro has been doing the same menu of breakfast sandwiches (seriously delicious - toasted sourdough drenched in salty butter, egg over medium, crispy bacon and melty American but not Kraft cheese) and lunch sandwiches & salads for over 10 years.",Blue Saguaro is an American restaurant,
Dragon Palace is the place I am most likely to go in the Valley for Chinese food.,Dragon Palace is a Chinese restaurant,Dragon Palace is in the Valley
"REAL formal or semi-formal Mexican restaurants (I don't know any in the Valley yet, but in the Bay Area there is the now closed La Michoacana in San Mateo, CA, etc.)\n\nValle Luna is a Type D, and a pretty good one as well.",La Michocana and Valle Luna are Mexican restaurants,La Michocana is in the Bay Area
been to one other Pita Jungle (across from MCC in Mesa on Southern) three times in total but have never been overly impressed by them but seemed fairly competent.,,Pita Jungle is in Mesa
I had the Cashew Chicken and it had the most flavor of any Chinese restaurant I've had in the east valley.,Cashew Chicken is a Chinese restaurant,Cashew Chicken is in the east valley
"In my quest to find the best pastrami-on-rye in the Valley, Chompie's is a natural choice as it's probably the most famous -- if not the oldest -- Jewish deli around.",Chompie's is a Jewish deli,Chompie's is in the valley
"If you want delicious Italian food, may I recommend \""Stone and Vine Urban Italian\"" on Shea Blvd. ""f you want delicious Italian food, may I recomme",Stone and Vine Urban Italian is an Italian restaurant,Stone and Vine Urban Italian is on Shea Blvd
In 1999 the AZ Republic Voted Abacus Inn Best Chinese in the Valley.,Abacus Inn is a Chinese restaurant,Abacus Inn is in the Valley
\n\nThey also serve breakfast items all day and all your Mexi Favorites.\n\nCaramba is a better alternative to Taco Bell or Chipolte and offers a large patio and is one of the better fast casual Mexican Restaurants in the immediate area.\n\nMany Caramba locations are in the area.,"Caramba, Taco Bell, and Chipotle are Mexican restaurants",
"All in all it was not the worst mexican food ever it just didnt meet the standard that has been set by the south phoneix classics which are Carolina's, Poncho's, and Rito's.","Carolina's, Poncho's, and Rito's are mexican restaurants","Carolina's, Poncho's, and Rito's are in South Phoenix"
"Quite possibly the best Hawaiian food place in Las Vegas,Ross J's Aloha Grill is located in the Green Valley area in Henderson,making it a bit of a drive for Las Vegans who don't live on the east side of the I-15 - but",Aloha Grill is a Hawaiian food restaurant,Aloha Grill is in the Green Valley area
"If you're a marathoner or if it's your first marathon, you know by now that it's marathon tradition to eat a pasta dinner before the big race.\n\nI wanted to find a decent Italian restaurant on the strip or hit a buffet, but my friend was hell bent on finding an Old Spaghetti Factory somewhere in Nevada.",,Old Spaghetti Factory is in Nevada
"Tofu Hut for being open super late to offer this!)\n\nThis is on the cheaper/lower end of the Korean BBQ spectrum that Spring Mountain offers, (IMO the higher end being Honey Pig, but that's another review altogether.)",Tofu Hut and Honey Pig are Korean restaurants,Tofu Hut and Honey Pig are in Spring Mountain
